screen_time_minutes,accelerometer_mean,gyroscope_mean,touch_events_per_minute,battery_consumption_per_hour,cpu_usage_percent,background_apps_running,device_temperature_c,usage_class,overheating_flag,cpu_usage,battery_drain,temperature,memory_usage,screen_time,gaming_time,social_media_time,Age_Group,Usage_Type,Health_Risk,total_usage,usage_intensity
,,,,,,,,,,17,6,31,6323,5.85,2.74,5.81,Young Adult,Social Media,Medium,14.4,2.461538462
,,,,,,,,,,81,20,36,2757,7.93,3.84,5.59,Teen,Social Media,Medium,17.36,2.189155107
194,9.786168844,0.254395874,55,28.04162249,26,27,44.82581562,0,1,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,56,5,43,2631,8.42,2,0.02,Teen,Productivity,High,10.44,1.239904988
342,8.825635048,3.176505327,49,9.805410154,28,29,38.58957134,1,0,,,,,,,,Adult,Productivity,Low,,
371,13.47332009,8.71576652,71,21.01084379,54,10,28.42223009,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,30,18,40,2166,9.55,4.6,3.09,Teen,Gaming,High,17.24,1.805235602
364,1.501281004,11.78079055,25,2.791250423,63,29,31.12948611,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,69,27,34,7293,4.19,0.29,1.98,Young Adult,Productivity,Low,6.46,1.54176611
58,1.211835978,11.7336415,122,25.86318228,30,23,33.42693502,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,60,16,35,6222,5.34,1.35,4.56,Young Adult,Social Media,Medium,11.25,2.106741573
,,,,,,,,,,23,21,45,5992,9.79,3.78,0.05,Teen,Gaming,High,13.62,1.391215526
,,,,,,,,,,81,21,32,5070,7.9,0.11,2.93,Teen,Social Media,Medium,10.94,1.384810127
364,8.769890684,10.82171512,178,12.18774642,39,19,29.46634489,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,74,13,37,3489,5.49,2.92,0.83,Young Adult,Gaming,Medium,9.24,1.683060109
314,16.98852892,9.567832608,29,4.117777394,58,4,49.92733078,1,1,,,,,,,,Adult,Productivity,Low,,
174,5.08419019,0.999501852,1,7.548366945,8,14,48.30065819,0,1,,,,,,,,Adult,Productivity,Low,,
107,19.31184509,1.646003186,141,16.62917143,34,11,33.78847654,0,0,,,,,,,,Adult,Productivity,Low,,
64,14.76830405,5.170737645,129,27.37736102,37,29,31.24395559,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,42,17,38,7713,5.02,0.53,0.55,Young Adult,Productivity,Medium,6.1,1.215139442
,,,,,,,,,,16,13,40,2635,5.24,2.3,0.52,Young Adult,Gaming,Medium,8.06,1.538167939
390,1.599390495,12.47900378,91,15.19520686,55,2,29.3496918,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,42,17,38,7713,5.02,0.53,0.55,Young Adult,Productivity,Medium,6.1,1.215139442
,,,,,,,,,,11,11,33,1119,3.91,1.88,1.09,Adult,Productivity,Low,6.88,1.759590793
,,,,,,,,,,89,6,30,3660,4.09,1.3,0.51,Young Adult,Productivity,Low,5.9,1.442542787
128,8.163521527,7.456583215,26,21.64841924,77,3,36.61356536,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,13,28,48,2931,7.41,3.75,4.42,Teen,Social Media,Medium,15.58,2.102564103
117,4.333285111,13.9974241,100,29.5582036,59,12,43.15547665,0,0,,,,,,,,Adult,Productivity,Low,,
353,15.36717758,14.96550461,11,8.668364843,79,23,28.0708018,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,11,8,45,4261,7.21,4.58,5.37,Teen,Social Media,Medium,17.16,2.380027739
271,18.39040273,7.321044356,36,31.8658342,19,18,46.15108702,1,1,,,,,,,,Adult,Productivity,Low,,
267,4.414501221,8.504349792,154,20.41075306,25,16,45.2677335,1,1,,,,,,,,Adult,Productivity,Low,,
156,9.981567695,6.841306185,25,21.20945921,88,4,49.66273427,1,1,,,,,,,,Adult,Productivity,Low,,
411,18.88344293,8.488655211,55,9.115461064,61,28,34.4997851,1,0,,,,,,,,Adult,Productivity,Low,,
76,5.649539917,5.854612341,104,33.9017792,26,14,40.1836493,0,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,16,29,32,5142,6.61,2.91,0.8,Young Adult,Gaming,Medium,10.32,1.561270802
,,,,,,,,,,49,26,41,1580,9.75,4.16,4.84,Teen,Social Media,High,18.75,1.923076923
406,14.20732884,1.410481261,150,18.76565252,83,2,41.53482764,1,0,,,,,,,,Adult,Productivity,Low,,
,,,,,,,,,,43,24,32,3070,8.58,0.23,3.56,Teen,Social Media,High,12.37,1.441724942
96,3.89912952,12.25496674,128,34.67160465,86,29,38.11560932,1,0,,,,,,,,Adult,Productivity,Low,,
66,3.739033342,8.072030158,162,10.28061875,74,27,42.01843249,1,0,,,,,,,,Adult,Productivity,Low,,
194,7.995998162,11.54532023,118,4.721898355,41,13,46.2058337,0,1,,,,,,,,Adult,Productivity,Low,,
347,14.76700758,12.42771626,76,31.92383337,12,12,43.98215773,1,0,,,,,,,,Adult,Productivity,Low,,
59,12.9375569,11.2611657,149,18.76277559,64,23,31.22022783,0,0,,,,,,,,Adult,Productivity,Low,,
